,text,aspect,label
91,did a little timelapse-video of me organising my @notionhq and outlining my novel.,organising,1
307,missing offline mode,offline mode,0
2166,"when i click on the button, i have to go through a survey.",survey.,1
911,@aprilynnea @notionhq when you make your first database get back to me,Database,1
2718,easy to operate and help line availability,Easy,2
3269,features access to 3500+ curated templates full access to image library full access to standard video library 120 istock images and videos free access to creator club's (premium) templates all future updates,Image,2
3303,well the video show to click on the bottom right of that scene but its not there,scene,1
1405,"notion is great on it is own on desktop machines, this app has sucked too much pond scum.",app,0
3468,you need to go to advance editor form top to remove sound from video and music,remove sound,1
2598,"ohh i see the upload speed is too low, it should be average",upload,2
1137,"system is showing order is delivered but we are not getting delivery, fraud is happening","delivery,",0
3785,"never in my life I have seen such a perfect app for note taking, plus the good people at notion have gotten rid of limited plan.",notion,2
2281,"I can not go to the electronka connected to the asana from mobile, and the application forcibly sends to the electron address.",mobile,0
2631,I’ve been using asana for the last 4 years in a daily basis.,daily basis,2
3922,"My notification badges just keep climbing in number, even after I’ve archived everything.",archived,1
3658,it looks like the timezone can not be changed if the database is locked.,database,0
3844,I love Asana for project management across several organizations however the mobile experience has always lagged a bit behind the web version.,web version,1
479,prompt delivery and best customer service,delivery,2
3104,delivery charges should be nil,Delivery charges,0
1011,there is no option to select light theme.,light theme.,0
1068,"no non-gaming app should take 10 seconds to start, work sluggishly and sometimes even crash.",app,0
1957,"sure, so once you pay, ill share the details and a proper invoice on your email",email,1
105,"then click on your profile icon on the top right, and go to the ""my projects page"" 3.",project,0
536,"but if i put ""none"" as animation it will still slide from left to right!",slide,0
3252,"i love the desktop version and have found it truly revolutionary, but the same cannot be said for this android app.",android app.,0
2705,okay i will cancel it,cancel,1
1217,fruits and vegetables are of worst quality and expensive too,Fruits,0
296,"sorry, but the display on my cellphone is getting really over-zoom",display,0
1619,i just can not afford it right now and i probably will not use it as much to get my money's worth,afford,0
1109,"we forced to purchase coriander leave, onion leaves and other vegetables from amazon's fresh because you are not keeping it.",coriander,0
3677,i can look into this for you - could you share the name or domain of the workspace?,workspace,0
785,service fee on milk is worst,Service fee,0
63,please add an app lock to secure sensitive information.,secure sensitive information.,0
138,"we started with chrome for the web clipper since most notion users are on chrome, but safari is certainly on the to-do list!",Safari,1
49,"first the loading time for opening the app needs to improve, next is that instead of having to click a lot of buttons to highlight a phrase such as clicking color and then having to click again and choose a color, it would be more efficient to highlight a phrase and then one click for it to be highlighted just like in striking words/phrase.",phrase,0
1231,@notionhq ftw however the number of features might be overkill or off-putting.,however,0
3450,why emojis i write in app is too old?,app,0
594,packing and delivery of breads cakes is very bad.,breads,0
1852,home service and regularity,Home service,2
3007,1 dolar = 8.15 tl for me .discount as much as you can,discount,2
1012,"original review: i love notion, but it is super slow to open on android (pixel 4).","Notion,",2
2418,"The program is good.  After updating, when trying to create an event, crashes.  IPhone 8 Plus, iOS 13.2.3",IPhone,1
1062,timely delivery and no extra charges,delivery,2
2362,everyday you guys have operational issue and bcz of which i have to rush to local shops for milk or anything which i order.,milk,0
1077,"really it is a very good app thank , thank you very much for team work design.",app,2
1557,you will only able to see a shared page on your shared notion pages once you are on a team plan and the person who is the owner of the page is also a member of the team plan.,shared,1
2712,i love this app so much!,app,2
1396,you charged me 60$ today,charged,0
1481,hassle less early morning milk delivery.,delivery.,2
3645,i thought i had already cancelled prior to the trial being over but just noticed the payment,cancelled,1
2094,Hoping to use to coordinate work across a PC and iPad.,iPad,1
3220,how to give blur effect on changing scenes,blur,2
2416,this app deserves so much more attention.,app,2
1899,"however, one negative thing that i believe is crucial is that you can not select text for more than 1 block.",text,0
474,avoid delays improve app add more offers,Avoid,2
3482,Why is it taking so long for the KanBan and calendar to work in the iOS app??,iOS,0
1087,"I enjoy very much the app on my computer, and I start to like the app on my phone as well.",computer,2
3193,"Guys, correct locales, in Ukraine is downloading the application in Polish, although previously everything was correct!",downloading,1
2399,in this troubling times would like to have products delivered however service has been erratic,service,0
9,please add this basic feature,Please,2
336,I like the ease of setting up inventory and the ability to take pictures of each item.,inventory,1
3649,"and prior to this change it was saying upgrade for $10, now it is $15 :)",upgrade,1
2971,this is my biggest database,database,2
3909,I originally planned to use Asana as a To Do list of tasks but found the project management capabilities amazing.,list,1
3436,This is exactly what I needed to organize my process!,organize,2
318,not able to use notion for mobile now.,notion,0
2234,desperately needs widgets.,widget,0
3225,but for a quick note i will use google keep it for a while.,google keep,0
118,i can not rearrange properties in a table on windows desktop.,desktop.,0
3665,"hi, this morning i opened my notion to type out notes for my english class just to see that I would been logged out of my account.",notes,1
1341,"Dear Developer, 
I am a new user of your app and I am impressed with all the ideas you guys have consolidated in this app .",Developer,1
1281,"in the meantime, theirs a workaround that might help, this is to export files directly from evernote then import them into notion.",Evernote,0
2498,This database is great because I have customized it for our small music library.,database,2
3616,regular service is needed,Regular service,0
2932,could i be one of those users with access to the beta program? :),Beta,1
3181,"it is not like our phones are slow or anything, but it is more to do with the app optimization.",app optimization.,2
2743,"could i perhaps prove to you i am a university student, then use my personal email to get the free benefits that university students can get in notion?","student,",1
1124,"notion is becoming famous because it is one of the best apps we can use especially for online class, very useful!!",apps,2
892,also appsumo plan does not include premium features and to use them you will have to upgrade your plan to business or unlimited,appsumo,2
1245,and i would like to know if i can get a refund,refund,1
2122,"right, but it does fade in the editor",fade,2
3261,"i guess i could not use command+p to search the content inside the table; i personally like to put description and remarks in the table because i could see the information without opening a page while using ""table databases"" in notion.",opening,1
3907,still i have not received super bag first deleiever that too me,super bag,0
3700,please deliver the items promptly and regularly,deliver,0
2211,deliveries were not made only during couple of days which is quite understandable.,Deliveries,2
3456,but the iphone app did not open at all (0/5).,iPhone app,0
1278,"ok, for a free trial, you can only do it with a card, if it does not work, then please use it on a free account, and if you like it, you may come back and pay for it",account,1
3066,i installed the app but when i open the app it displays the logo with white screen.,app,2
50,i am talking about the offline mode in which you can work on something for a couple of hours and the app will log out by itself and you lose everything.,offline mode,2
2147,i like the teal colour just not the stripy background,colour,2
3603,sometimes items like curd supplied expired or going to expire immediately delivered,curd,0
2042,i see that it is on a lifetime plan.,Lifetime,2
557,"It would be nice to have a “Tasks I’ve completed” filter, the “recently completed tasks” shows everyone’s tasks.",tasks,1
3743,i gave a spin to the daily habit tracker which adds a lot of insights to the user.,daily,2
3813,any projected timeline for resolving this issue.?,projected,0
3591,"also, i did suggest applying for a nonprofit, but they are now asking if doing so will exempt them from tax.",tax.,1
1233,love the pover of organization and notetaking spread sheets its perfect.,Love,2
3754,good products but more items to be added and last order should be allowed till 2 of clock night,items,2
1218,good choice of products and customer service.,customer service.,2
3230,more than 15 seconds in a redmi 6a with miui11.,Redmi 6a,0
1381,"however, i do mostly use notion on my computer, not through my android phone :/",android,0
779,on time delivery and communication,communication,2
985,"same video duplicated, same 4 media.",duplicated,1
663,but so far i have not received supr bag inspire of several complaints and reminders,SUPR BAG,0
3334,The newest update (4.1) renders the date field almost unusable.,field,0
714,"It's a great tool, but I'll put it all 5 stars when they include task reminders and they show up as notifications on your cell phone.",cell phone,1
2689,"I love the app and how it has boards and lists combined, but I",lists,2
959,anyway emails is  and the team plan we are talking about is for starpro workspace.,workspace.,1
142,this is most likely due to the size of the database.,database,1
2387,sometimes the application decides to keep crashing.,application,0
2164,amazing app i have ever discovered,app,2
1369,provide offers so that we can get attracted by your brand,Provide offers,0
3898,service is so bad that i stopped complaining as there is no use,Service,0
3178,i wish you could emoji react to documents in @notionhq.,emoji,2
2473,you need to select an image on the scene to get this option.,image,1
2078,@typeoneerror @mariepoulin @geecyr i think there is also too much default access to client files but supposedly.,files,0
778,I am using my album artwork to make a short promo video with the music in the background i just want it to be a still image,background,1
2822,I was looking for something to keep tabs on tasks over multiple projects.,tasks,1
312,cash on dilivery & price of items,dilivery,0
2019,the app does not even open up.i was so excited to try notion.now,app,0
3512,it is an inline gallery view (not under a toggle) and the bug usually happens when the card is medium size.,gallery,2
3773,New favourite productivity app!,productivity,2
2922,"however, i do not see a way to add custom templates to notion without submitting them to the global notion template gallery?",Gallery?,1
3737,"my video has 2 scenes, but when the render finished the 2nd scene music only there","scenes,",1
1876,people have a misconception that notion is solely a mobile app.,notion,2
1014,however it would be nice to have a widget and also a place where you can draw to better understand a lesson or plan.,WIDGET,0
1148,you have upgrade from monthly to yearly,yearly,1
3854,"oh, if you mean speeding up animations, then that is not a feature we have yet, sorry :)",animation,1
1544,i love this app.,app.,2
1520,"the projects open fine here, i understand swapnil asked you to check the connection, go to incognito, etc.",incognito,1
1372,it does not let me load a clip on the scene,scene,0
20,i thought linked databases were my favourite feature of @notionhq.,databases,1
3393,charging for other than milk is too much.,than,0
3777,"Unfortunately, it is not possible to be notified of entries (e.g. from a task list) via push notification.",notification,0
980,you need to add the video clip and then adjust its size to fit it in the mobile frame,mobile,1
365,meeting your coworkers at the @notionhq office for the first time ever after you have been zooming for 1+ year is a g.,first time,1
468,the best note taking app.,app.,2
428,this piece about @notionhq's approach to design and how they came back from the brink makes for a great read,design,2
2104,"so, reliability is low.",reliability,0
1467,this app is amazing!,app,2
3208,remove supr access and make all free delivery.,delivery.,0
1851,i love this app .,app,0
151,"i love notion on the mac, it seriously is the best.",Notion,2
2946,and i need to edit just to download 1080p quality.,download,1
672,no cold chain is being maintained for milk and milk products no,milk,0
1709,i would like to remove the paid version.,paid version.,1
3224,like no offline access at all [?],offline access,0
3864,timing nd delivery is really very poor.,Timing,0
2006,proper response to issues,issues,0
73,"its about the lowest vasilescu.pro solutions text in the scene, that should have the overlay over it before it fades away.",fades,1
973,# what is your workspace domain?,workspace,1
1877,please send whatever ordered else refund it in respective bank account not in ur wallet,wallet,0
3229,@notionhq @jevakallio seems like database speed and scalability is the main issue with your (bad) performance,database,0
3308,The web based version works great and use it a lot at the office but the app just doesn’t work the same.,web based version works great,2
3835,do not charge service fees and give quality in products,service fees,0
848,milk delivered is not fresh.milk exceeding date of expiry is delivered nowadays,not,0
2702,"So much derut, app is raw, widget not customizable normally, no support",widget,0
1668,@notionhq please hurry and restore service.,restore,2
736,it is able to replace a number of apps in one,app,0
3094,"do not take advantage of the situation and suddenly add charges like done now ,the timing could have been post lockdown for charges, and ensure everyone gets atleast one packet of milk even of they have ordered for more so that distribution happens equally",charges,0
3097,please can you lookinto project,Project,1
1343,unlimited products and prompt services.,Unlimited products,2
657,"iPad version behaves like the iPhone one, can’t edit in spreadsheet and can’t view gallery",iPhone,0
3210,Widget's Section texts are too big and looks super ugly on my phone screen.,Widget,0
2825,items availablity needs to improve for the loyal customers.,Items availablity,0
874,the vat field actually will not show up until your billing address has been updated - that field automatically comes up when we have verified your address is in a taxable jurisdiction.,billing,0
3226,"I hope u know how it feels, when u just write a 3-paragraph essay then suddenly your microsoft word crash and it didn’t save ur work progress.

",crash,0
1347,It doesn’t seem possible to unsubscribe on mobile at all.,mobile,0
3204,select the video clip on the scene and you will get the volume option on the right panel.,volume,0
345,great app to organize your life and also keep a to do list.,app,2
1463,reasonably priced veggies,veggies,2
3136,the best productivity app ever!,app,2
3107,"i would like to downgrade my account temporarily from business to free, as i am not using it at the moment",business,1
966,Use this to keep me and my colleagues organized and I love it!,colleagues,2
1486,the $10 is the yearly plan i.e. you will be charged $120.,yearly,1
3185,"the most important tools in my digital ecosystem are:
 time blocked gcal
 ",blocked,0
1402,"on the pricing page, it says cloud storage for unlimited is 100gb",pricing,0
3410,I discovered this app after looking through the productivity section and was trying to look for something to help me with university because I was struggling to keep motivated.,productivity,1
2827,your list of item is too short.,item,0
2582,"Very practical, control the tasks of my remote computer simply and intuitively.",remote,1
2256,this app made me switch from evernote for ever.,app,2
2780,"i see, so does that turn off the music for just that scene?",scene,1
185,multiple and large variety catelog of items,variety catelog of items,2
2487,but viewing this data in calendar view (by 'upcoming date' so upcoming birthdays show) does not show anything for today's date.,data,0
582,"It is free, user friendly and very helpful in organizing any collections one may have.",free,2
360,I am absolutely entitled to everything listed above.,listed,2
3918,timely delivery with fresh product,product,2
2941,Please add voice capabilities (speech synthesis) and the ability to record your voice.,record,1
1812,"atleast before 9am , showing that today's items are delivered.",delivered.,0
2213,improve the quality of food you deliver.,quality of food,0
451,"$$
your math
$$",math,2
3407,i know that all workspaces have the same card.,card,0
1165,"i chose 7 different passwords with different combinations, but to no avail.",passwords,0
2805,"we have a subscription for milk,if we want get any thing like fruits or else along with milk you charged for it extra this is not all invitable",like,0
1665,no comparison with windows programme slow in startup slow in any process need high internet speed stop when save page on it not working offline,windows programme,0
1792,"Be careful... if you work as a team, do not exempt yourself from controlling that the tasks are actually being done. 
",tasks,1
2299,"For such a popular project management tool, this mobile app is horrible.",project,1
2742,"I am sorry when i click the ""g"" it does not show ""my project""","project""",1
3190,"1) all orders , payments are being accepted from my mobile no registered with you , but when it comes to contacting yr customer service for raising issues, i am getting a message that this mobile no is not registered one .?",Customer Service,0
164,i love the desktop version but this wait time on mobile app is making me think should i uninstall it.,desktop version,2
3750,will i lose quality each time?,quality,0
3619,their android app is pure garbage.,Android app,0
103,"@notionhq can you expand the header cells to support h4, h5, h6 please.",support,1
3019,"Asana has been a god send as I can visually see what I need to do for online courses I’m creating, clients, my home - everything.
",clients,1
929,as i said my vat number is already listed on the page in question.,listed,1
3554,I am happy to fill out a form.,form.,2
2670,one touch quick note creation to a defauly folder would be nice for thr mobile app.,mobile app.,2
342,deliver the milk!!,milk,0
2064,the first company is running the h kealth workspace and using okta as a saml provider for sso and scim .,SAML,1
2918,0 days since someone asked for @notionhq offline mode,offline mode,1
396,how to remove uploded video audio,audio,1
1181,this app is still limited.,app,0
3742,your free trial ends on april 22 and you will be charged $10 monthly,free,1
2930,besides that this is one of the best note taking apps!,note taking apps!,2
3733,"in terms of #remotehiring @graphyhq are showing the way, by using @notionhq to share their available roles and prep.",share,1
2132,which i import from another video,import,1
1284,"but allows me to quickly check my pages, my other wish would be that it load faster.",load,0
2516,"i use this app for scheduling, journaling, and for many different things.","journaling,",2
1122,"when clicking on my custom template button, it throws a spinner and does not create a new page like.",custom,0
740,please inform me if you cancelled the sub,cancelled,1
3464,Perfect project manager for team work or myself.,team,1
240,"however, they have done a great job of adding preset templates that help you to get an idea of the app's potential.",app,2
1371,"i can do this on omnifocus, evernote, even things.","OmniFocus,",0
2458,single one time purchase of $49.00 $600.00 all features above included 30 videos/month unlimited team members 1200+ handcrafted templates standard media library video length up to 10 minutes,Unlimited,2
2313,but why does my scene zoom out on each picture,picture,0
3831,in fact I am talking about the video or a picture being dragged into the scene to fit with the text/script,text,1
2054,"5 stars if you add custom filters to the app, without it it is very confusing to use.",filters,1
189,items rate and availability,Items rate,2
1998,tell me why this app takes forever to load.,app,0
2376,the delivery is not regular.,delivery,0
2343,dilivery charges are too high.,Dilivery charges,0
2233,"notion seems like a great app however, everytime i type something on the mobile app in notion, my keyboard resets from swiftkey to samsung's inbuilt keyboard.",Notion,2
184,does this mean i will not be charged vat?,charged,0
1138,(she/her) design &amp; operations manager,Design,2
1257,"what kind of @notionhq templates are you most interested in?
",templates,1
1500,"hi there, could i sync or easy to move evernote files(10yrs) to notion?",sync,2
1206,because all the workspaces are so confused - if we can restore personifi that might help me trace what is missing.,workspaces,1
1080,total stars 3/5.,stars 3/5.,2
2974,service is not upto mark,Service,0
1524,love this this is an amazing app.,app.,2
981,but there should be some 2fa to secure account.,secure account.,0
753,"Incessant crashes, difficulties in launching the application.",Incessant crashes,0
2422,I enjoy this app very much and find is so useful for keeping track of my personal and work to-do lists,personal,1
1018,"apples bananas in notion ios app,i want to convert the list to a todo list inside the block of a page.",Apples,1
1480,may i know did you canceled the plan?,canceled,0
993,I don’t have a business or even use this at work.,business,1
2378,"I would resolved that even if the data was gone, I would still want to use the product even if i had to start from scratch!",data,1
1596,"when i try to drag and drop from one page to another saved as favorite in the sidebar, it moves for 1 second but then comes back to the first page",moves,0
2345,"i like your delivery service, customer support.",delivery,2
1057,the milk packets delivered have hardly one or 2 days of expiry left.where as in market we get 5 days,milk packets,0
257,my files are not uploading.,uploading.,0
1162,deliveries.,Deliveries.,0
809,you can upload the audio from left panel uploads,audio,1
233,this is a screenshot of what it looks like,screen,0
3927,"it is a great app, but does not have widgets, and it is essential, especially for lists","app,",2
1304,ios has a feature that let us you move the text cursor around by holding the space bar and,iOS,2
673,most annoying is that it had a dark mode but the app's updates apparently made the dark mode toggle go away and no updates have brought it back for me.,dark mode,0
624,"the app speed is fine, if you face frequent slowdowns, then it may be either due to you browser cache, your system memory not being being able to handle the editor's load, an errant plugin, or just slow internet",slow,0
2322,best notes app i have ever use.,app,2
1421,"however, most of the vegetables and fruits are out of stock most of the time.",fruits,0
528,you should not be charge rs2 as delivery charge for milk when we pay money in advance.,delivery charge,0
3309,i see your plan was not cancelled and 14 days was completed and so you were charged on 2nd april for business yearly plan,charged,0
1224,Anything with a spirit please help from the company's team all may be able to make it easier for us to solve whatever issues are different types..,team,1
707,other than milk products greens and coriander leaves supply will avoid our visit to local shops,milk,2
2409,how to delete workspace on ipad,ipad,1
3537,"very intuitive, love the features, in particular the shareable notes.","features,",2
3573,the notion website application is awesome but i find the app to be not so easy to use.,app,2
3757,tour refund policy for reduction on supply of milk packet in not good,milk,0
1136,"I love this app, but for the free version it would be better if their was a bit more storage right now it’s like (2GB)",storage,0
134,Productivity app doesn't have the ability to send push notifications on time...,push notifications,0
3924,And I was asked to paid.,paid,0
1385,@monicalimco @m_ashcroft @notionhq @roamresearch now use the @notionhq web clipper as you visit each course.,web,1
1270,all my notes and research for school projects and school subjects were on there and lots of important dates and events.,projects,1
3511,morning time delivery and doorstep delivery,delivery,2
2262,"AirTable is amazing, but the inability to use so many different views and functions via mobile effectively cripples this app.",functions,0
1583,"the problem here is that, when offline, the app is unusable: no images, no emojis.","images,",0
3148,does that only appear when a video has been exported?,exported,1
230,i could crop some scenes but not preview it,scenes,1
761,"Intelligent tool for organizing tasks, managed to combine efficiency and humanize of a hot girl.",efficiency,1
1521,"this is the app to get if you want to organise your thoughts, to do list, whatever you throw at it, notion would be able to do it.",app,2
1195,"contactless delivery, zero complications","Contactless delivery,",2
1047,"I love sortable as it looks so much nicer then tables, is easy to learn and gets me excited about using databases!",sortable,1
2361,"so that we can have an overview of all the projects together and keep track of everything runing smoothly however, i think it still lacks a few ""key"" features that would be awesome if you could implement to make it a nicer and more useful tool:","however,",0
2948,"no, you are on the professional plan, look at the article above",plan,1
3199,I would appreciate linux support.,support.,2
3234,"its the same process, select and press delete on the keyboard",delete,1
2561,just created a list of all the different blocks available on @notionhq .,list,1
2935,this is an app for taking notes.,app,0
43,punctuality as well keeing update.,Punctuality,2
1760,"besides milk and curd, all other food items available.",milk,2
3421,i use onenote from my office subscription,OneNote,2
744,kindly fulfill your commitment made to customer.,commitment made to customer.,0
1096,why is not my email verification code?,email,0
1503,"now a days mostly there two sim card users, so it is request to you to add both sim card nos. of your comsumer.",SIM Card,0
3256,we started using this at work.,started using,2
465,Too many updates!,updates,0
967,i deleted the app and redownloaded it but it still continued to crash.,delete,0
2118,recently installed the app.,app.,2
2897,"but the app could have a better mobile interface (more gesture integration, quick actions and widgets).",widgets).,0
3055,i thought i had already cancelled prior to the trial being over but just noticed the payment,payment,0
1285,groceries rate are very high compared to near by market,Groceries rate,0
2677,"awesome app, it helped me a lot.","app,",2
1950,"I find it very complete, fast, I like that I can restrict on schedule to receive notifications.",fast,2
2679,then we can start editing the videos inserting video or pictures to fit the script in each scene,pictures,1
2581,"when i go to the concerned page, and i try to add that tax numnber, i get the following message: ""a vat/gst number is not required for your tax jurisdiction.""",tax,1
3047,I can't log in...,log,0
3815,Excellent Task Manager!,Task,2
1330,"no, that does not affect the text transparency.",text,1
484,how do i test the upload speed,load,0
1110,"but, are there any videos in any of the scenes?",scene,0
1530,"Don’t get me wrong, Airtable is a great platform, but promising everything is misleading. Everything requires numerous bolt on integrations that cost our company an extra $175/month. 

The Zapier integration helps a ton. However it’s missing several vital triggers. Like detecting an updated record. Thus the workaround is a $49/per month patch “plug in” by a 3rd party. 

Zapier claims they have been requesting this of Airtable to enable this for many many months. 

Come on Airtable. Please don’t make us pay hundreds of dollars more per month to enable features that Airtable could certainly provide. 

Another missing function (which would not require a zap), allowing customers to update their own record requires a 3rd party integration to simply create a unique url to a unique form for external updating. Airtable developers could flip a switch to get these “BASICS” enabled.",Zapier,1
3850,and: how does one change the workspace-name once one upgraded to team-plan?,Workspace,1
1425,this is literally the best app I have ever had!,app,2
1273,Years later still the same junky app when compared to desktop,desktop,1
1912,well i have been using this app until the application has started not to open and it was good,app,2
3836,we are waiting for our investors to be added to the list,list,1
3271,I will go ahead and add your vote to prioritize better copy/paste support using ios.,paste,0
3998,delivery is delayed or cancelled every time i order something.,Delivery,0
2171,so i change the project colors into custom,colors,1
713,"we will keep you posted as soon as we have an update on this, as our goal is to set more features and improvements based on our user's idea to innovate the app and deliver a smoother app experience in all-in-one workspaces.",workspace,1
3033,your google login on incognito does not work,INCOGNITO,0
2539,overall the app is really good has been using it for my med school in taking down and organizing my notes.,app,2
3409,can i download and use the video for commercial purposes during the trial period?,trial,1
195,i love the way the tables work,tables,2
1558,"so, i see fit with blur does have some black bar, what we can do here is just add a shape and color it while then set it behind",blur,0
204,Enter the Italian language,language,1
306,vegetables quality need to improve,Vegetables,0
1972,hi i want to pay via paypal,PayPal,1
3000,the least you can do is to extend the suupr access subscription for failed deliveries,suupr access subscription,0
3187,amazing app loving the layouts.,app,2
3768,"Overall an awesome app, but there are some worsened features over the latest versions, as well as some stupid missing ones on android versions.",android,0
2045,"hello, workspace name is momentum international carriers and it is under my email addressbilling address:",Billing,1
2597,"Upgraded to Professional and paid for, but these are still unavailable and I'm still in the basic version.",paid,1
122,"one incidence, no supply , no communication for five days.",communication,0
3486,the insert block list needs to be searchable.,block list,0
1533,"i recommend doing most of your editing on the computer app, and using your phone app for things like checking your planner.",app,2
1097,(x86_64) web clipper plugin version,web clipper,2
3117,the current delivery charges are on the higher side,delivery charges,0
3244,looking forward to seeing how my new productivity set up works out! .,productivity,2
2059,"i happened across notion in the app store and realized this one was worth making time to write, if for no other reason, just so i can share how much i absolutely love this app!",Notion,2
3786,and the second browser is firefox,Firefox,1
2668,a very intuitive app for those of us with many ideas and tasks to keep tabs on.,app,2
2203,city wise service and more important stock,service,0
1752,"love the web based version of notion and the product in general, but the app really let us down this product.",Notion,0
3941,the android app requires force-close + cache-clear on a daily basis to prevent it from getting stuck indefinitely on the loading screen.,Android app,0
924,Good thing to supervise and support projects.,projects,1
3879,Love this app and it works supertly for planning work.,planning,1
997,new way of taking notes!,New,2
723,looking forward to future improvements to the app.,app.,2
2527,"also, please create a new account with us.",account,1
2053,how do i stop the music for a single scene please?,scene,1
3176,@notionhq editing manually also does not update the sum.,Editing,0
1150,your payment and account is good on our side :),payment,1
3423,so you are not interested in premium lifetime plan?,lifetime,2
3422,customer service n quick delivery,Customer service,2
3209,"Airtable (a standard tool where I work) chose something useful to create, but the interface is about a C- in an era when numerous companies have built wonderfully polished productivity tools for the iPad, web, and other platforms.",iPad,1
742,"unfortunetly i am not able to cancell my trial as when i try to get to ""trail"" page it says that opera is not supported etc.",cancel,1
187,"Airtable is amazing because of the 'views', but if you can't use Kanban's view in the iPad app, it's preferable to use the web version on safari to take advantage of it.",web version,1
2890,no customization on toolbar.,customization,0
415,by giving proper reply & service,service,0
2286,i have the s6 lite and I am struggling with doing simple things like deleting lines as the menu and keyboard,S6 Lite,0
1151,it selects images because you are on the free plan,images,0
2474,almost unusable as a quick note taking app.,app.,0
1112,timely delivery and no extra charges,extra charges,2
1010,"however, most of the vegetables and fruits are out of stock most of the time.",stock,0
1410,app stuck on loading screen.,App,0
1624,Do you not need Russian-speaking users?!,Russian,1
380,"yes, this is the only thing i wanted widgets to do when i saw this announcement.",widgets,1
1688,it might be a retention offer,offer,2
2618,lack of handwriting / drawing support is also a big negative.,handwriting / drawing support,0
2666,Mobile and web app are super overall.,Mobile,2
3667,but often Apple Pencil dosent respond in the upper left '<',Apple Pencil dosent respond,0
3572,"notion for desktop, web and mobile is good, but the ipad version is not good, interface is not properly scaled for the screen size and resolution.",iPad version,2
1634,how do you make sure that the videos or pictures dragged and dropped fit within the timeframe of a particular text?,text,0
3293,i love notion on my mac but not on my mobile: - can not copy more lines/blocks - no offline mode - extremely long time to load please fix it!,Notion,2
2209,ur customer service is too bad,customer service,0
2088,offers on known brands are reduced and are practically non-existent.,Offers,0
70,no immediate solution to queries,No immediate solution,0
123,"for subscriptions, ensure delivery happens daily its *not* ok even to miss a single day now that you even charge extra for each delivery.",delivery,0
2531,service charge very high,Service charge,0
1854,"apologies, we do not have option to add youtube link in the video",youtube,1
2602,why is there an upgrade button at the top while I am on the pro plan?,upgrade,0
2869,remove service fee or keep it lower for other than diary .,service fee,0
52,ep 09 action database manipulation | life hacks series: phmaesdnghnaa acti.,Database,1
3792,"I am constantly thanking and sharing gratitude for how my computer helps.
",sharing,2
3517,@marcovrj @jmelaskyriazi @notionhq @airtable we base our pricing on doc makers -- people who actually create docs --.,pricing,1
766,this app is great!,app,2
3874,i can not log in to my notion account on my computer,log in,0
1142,"delivery charges and rubbish schemes for delivery charges, 90 rs charged for milk delivery to same house",Delivery charges,0
2544,I have checked this with the team and they told me that since you have updated your billing address then it is sorted out.,billing,1
3499,"yes, it has been charged, i will cancel and refund.",refund,1
3583,follow this from a laptop/ desktop to cancel,cancel,2
3461,You want to boost sales functions?,sales,1
1333,your application with regard to customer satisfaction and the care team approach to customers is v v bad.,customer satisfaction,0
1733,"Different from Trello, it is not convenient that the mobile version does not see subtasks and that there is a description in the task.",subtasks,0
127,please provide free delivery for all the products.,free delivery,0
3843,is it best practice to work with small scenes (say 20 seconds each instead of a longer 60 second scene?,scene?,1
2754,"whenever the order is placed ,if the desired items not available ,by not accepting the order.",desired items,0
830,"Great app, just notifications can be more organized - they can be merged to one notification depending on project or task itself...",project,1
2162,can you send me the payment link here?,payment,1
2575,on free and business plan you can export 60 videos month,business,1
2095,mobile experience could be a little better coming from pc or mac where formatting is fine.,Mobile experience,0
108,startup seems to be getting slower and slower.,Startup,0
676,currently preparing the onboarding of a new team member by setting up task related wiki pages and screen recordings.,wiki,1
1943,i can not because i lost access to that email account,account,0
798,11pm order 7am delivery.,delivery.,2
78,"journals, gtd, cookbooks, whatever.","GTD,",2
1947,do improve management of suprdaily.,suprdaily.,0
2369,very laggy and freezes on a device with a snapdragon 855,laggy,0
2485,delivery feedback once given should be noted and if new delivery person comes he should know this in advance,Delivery,0
1189,"hi matt, apologies for the trouble exporting your workspace.",workspace,0
3571,"hi, i want to is it possible to have a language setting in ios app?",language,2
3959,Desktop is better...,Desktop,2
199,smart delivery dy',Smart,2
3050,sorry - the lifetime plan for me on business?,business?,1
2789,Cant open flashlight when using barcode scanning function.,function,0
1968,your vegetables and fruits quality is very bad.,fruits quality,0
3685,"Simply not working, keeps saying I'm offline in my project",offline,0
3279,products availability and delivery,delivery,0
264,would you mind sending us a screen recording when you tried to copy the contents and you can not copy it?,recording,1
3433,"great tool overall, but booting up the application on android takes way too long.",Android,0
3527,promt most of the time for regular milk delivery service.,milk delivery,2
1669,where are you adding the new music from?,music,2
1318,flexibility to order till 11 pn and timely delivery,delivery,2
524,please continue to work on the mobile app.,app.,2
1820,notion has very quickly become the hub for all my personal and work projects.,Notion,2
3243,The website version works fine.,website version works fine,2
1306,i need to wait around 30 seconds on one plus 5,One Plus 5,2
2696,"please be regular in terms of supply , remove unavailable products .",products,0
1291,I didn’t get past the mandatory sign in screen that lacks Apple sign in feature for privacy.,screen,0
1009,"half of the time when i just want to scroll around i drag and drop something by accident, or activate some editing feature.",editing,0
1388,syncs across devices,Syncs,2
3868,the app never opens for me or takes a lot of time.,app,0
1813,punctuality & humble behavior of executives in resolving any issue,Punctuality,2
